日期,淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),備轉容量率(%),工業用電(百萬度),民生用電(百萬度),核一#1(萬瓩),核一#2(萬瓩),核二#1(萬瓩),核二#2(萬瓩),核三#1,核三#2,林口#1,林口#2,台中#1,台中#2,台中#3,台中#4,台中#5,台中#6,台中#7,台中#8,台中#9,台中#10,興達#1,興達#2,興達#3,興達#4,大林#1,大林#2,和平#1,和平#2,麥寮#1,麥寮#2,麥寮#3,汽電共生,大潭 (#1-#6),通霄 (#1-#6),興達 (#1-#5),南部 (#1-#4),大林(#5-#6),海湖 (#1-#2),國光 #1,新桃#1,星彰#1,星元#1,嘉惠#1,豐德(#1-#2),協和 (#1-#4),大林(#3-#4),氣渦輪,離島,德基,青山,谷關,天輪,馬鞍,萬大,大觀,鉅工,大觀二,明潭,碧海,立霧,龍澗,卓蘭,水里,其他小水力,風力發電,太陽能發電
20180101,25708,23638,2070,8.76,279.707,189.179,0,0,98.8,0,94.1,94.4,75.8,76.1,0,52.3,52.1,51.8,54.4,52.5,52.8,53.4,46.7,0,27.7,0,47,46.9,76.1,,0,56.3,57.2,0,57,52,322.4,110.6,154.5,53,94.5,0,42.7,0,0,55,0,0,64.5,0,0,10.1,3.5,1.8,2.2,1.6,1.3,0,1.8,0.4,29.4,49.5,2.7,1.6,4.2,3,0,15.5,35.1,0
20180102,29536,27816,1720,6.18,321.468,217.423,0,0,98.9,0,94.2,94.4,75.8,76,0,52.8,52.1,51.9,54.4,52.5,52.8,53.4,47,0,43,0,50.4,53.2,76.1,,0,59.7,57.1,0,56.9,75.5,351.7,109.5,158,52.7,94.5,46.1,47.8,60.1,53.4,54.8,68.7,105.4,69,0,0,10.4,3.2,2.2,2.2,1.6,1.2,0,2.7,0.9,31,43.9,3.9,1.6,4.4,3,0,11.6,13.9,0
20180103,30132,28253,1879,6.65,334.264,226.077,0,0,98.9,0,94.1,94.4,75.8,76.1,0,52.8,51.9,51.8,54.3,52.5,52.7,53.4,47.1,0,43.2,0,52.8,52.9,60.5,,0,59.4,57.1,54.4,56.9,80.5,343.6,99.9,131.7,52.3,94.5,94,48,60.1,53.5,54.3,68.6,105.2,69,0,0,10.4,3.5,3.4,2.2,1.6,1.3,0,1.7,0.6,24.6,32.3,3.9,1.6,3.9,2.5,0,22.3,6.8,0
20180104,30716,28757,1959,6.81,337.945,228.567,0,0,98.8,0,94.2,94.3,75.7,76.1,0,53,51.8,52.3,54.3,52.4,52.8,53.6,46.8,0,42.6,0,50.3,53.3,76.1,,0,59.7,57.1,56.9,56.9,78.6,360.3,104.7,150.3,65.9,94.5,94,48.7,60.1,22.2,54.9,66.4,105.8,69,0,0,10.4,3.3,2.2,2.8,2.1,1.7,0,1.9,0.6,14.8,45.2,3.9,1.6,3.9,3,0,22.1,19.1,0
20180105,30401,28260,2141,7.58,337.418,228.211,0,0,98.7,0,94.2,94.4,75.8,76.1,0,47.8,46.8,48.1,48.8,46.8,50.8,51.4,46.8,0,31.8,47.6,52,53.1,75.8,,0,59.9,57.1,57,56.9,78.7,320.2,110.7,158.4,65.5,94.5,84.6,42.8,60.1,45.1,55,66.4,96.9,25.6,0,0,10.5,3.2,2,2.7,2.1,1.7,0,1.8,0.7,15.7,33.3,1.5,1.6,0,1.8,0,22.1,56.2,0.4
20180106,27842,26062,1780,6.83,314.58,212.765,0,0,98.7,0,94.2,94.4,75.7,76,0,52.8,52,52.3,54.1,52.7,52.8,53.6,46.9,0,42.9,47.9,0,53,76,,0,56.8,57.1,56.9,57,54,282.8,110.1,186.1,66,94.5,46.1,0,60.1,53.6,0,68.5,52.6,25.6,0,0,10.6,3.4,3.7,2.7,2.1,1.4,0,2,0.5,32.3,62.6,1.3,1.6,3.6,2.2,0,21.9,9.4,0
20180107,26516,25011,1505,6.02,297.867,201.46,0,0,98.7,0,94.1,94.4,75.7,75.9,0,53.6,0,51.9,54.2,52.7,52.8,53,46.5,0,42.8,47.3,0,53.2,76,,0,56.7,57.2,57.1,47.3,56,297.8,109.9,185.2,65.4,94.5,46.1,12.3,0,0,55.8,0,52,32.4,0,0,10.8,5.4,2.7,2,1.7,1.4,2.9,8.5,3.3,59.8,52.9,3.9,1.7,2.8,8,0,27.5,16.5,0.1
20180108,30068,28801,1267,4.4,334.839,226.466,0,0,98.6,0,94,94.3,75.7,76.1,0,53.2,0,52.4,54,52.7,52.8,53.4,47.1,0,42.6,47.8,0,53.4,76,,0,60,57.2,56.9,57,86.1,301.7,109.9,175.5,64.4,94.5,46.1,48.6,60,53.5,56,68.5,105,72.8,0,1.8,10.6,17.2,26.7,11.9,9.7,6.5,2.9,4.8,1.7,20.9,57.7,3.9,1.7,9.5,8,0,27.7,15.5,0
20180109,30767,28910,1857,6.42,342.04,231.337,0,0,98.7,0,94.1,94.4,75.8,76.1,0,48.7,47.1,47.6,49.1,48,48.7,48.6,47.1,0,37.9,47.8,0,53.5,76,,0,60.1,57.1,57.1,57,90.6,351.6,113,166,68.1,94.5,76.1,49,60,0,58.2,66.4,52.1,65.8,0,0,11.2,13.7,26.3,22,19.5,12.8,4,2.4,0.5,25.6,35.9,3.9,1.7,7.3,8,0,32,36.9,0
20180110,30269,28410,1859,6.54,338.775,229.128,0,0,98.7,0,94.1,94.3,76.2,76.5,0,48.9,50.2,48.6,54.1,52.6,48.6,52.7,46.8,0,38.1,47.4,0,52.8,76.1,,0,60,57.1,57.1,57,87.8,319,104.6,168.5,65,94.5,45.9,0,60,26.1,57.7,68.3,52.3,67.3,0,0,11.2,13.6,21.5,19.4,19.4,13,4,4.8,1.8,32.6,60.9,3.9,1.5,5,8.1,0,35.3,45.5,0.4
